open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1579601700000,8649.00,8650.45,8608.71,8635.60,1280.491,1579602599999,11047662.88857,2545,423.599,3656392.93652,0
1579602600000,8636.20,8679.11,8630.30,8669.88,1909.555,1579603499999,16539786.98141,4160,1133.688,9820654.91863,0
1579603500000,8669.88,8674.49,8659.00,8665.05,916.050,1579604399999,7938610.68892,1653,464.345,4024092.12923,0
1579604400000,8665.60,8677.83,8663.73,8669.62,771.956,1579605299999,6694137.39590,1420,393.306,3410290.22996,0
1579605300000,8669.38,8684.00,8669.38,8676.05,728.975,1579606199999,6325922.87865,1515,381.614,3311507.82127,0
1579606200000,8676.79,8676.88,8656.86,8662.25,753.793,1579607099999,6530821.91009,1511,279.375,2420126.89090,0
1579607100000,8662.26,8665.00,8649.00,8662.99,723.950,1579607999999,6265498.93174,1439,413.657,3579681.88338,0
1579608000000,8662.99,8662.99,8640.00,8661.27,829.972,1579608899999,7179074.74037,1710,407.704,3526637.99463,0
1579608900000,8661.77,8664.00,8655.00,8660.47,387.115,1579609799999,3352575.96817,890,161.123,1395340.16749,0
1579609800000,8660.99,8661.73,8644.06,8652.03,465.779,1579610699999,4030627.60387,1058,205.545,1778648.02237,0
1579610700000,8652.03,8675.00,8650.46,8667.26,652.538,1579611599999,5655358.72314,1401,429.299,3720693.41692,0
1579611600000,8667.26,8667.81,8657.79,8657.79,372.238,1579612499999,3224048.41017,758,189.979,1645282.20402,0
1579612500000,8657.80,8659.46,8650.70,8655.59,296.824,1579613399999,2568887.07908,670,119.401,1033394.02579,0
1579613400000,8655.60,8672.93,8655.07,8665.54,560.740,1579614299999,4859619.11179,1135,325.424,2820083.31488,0
1579614300000,8665.70,8669.32,8664.82,8667.19,195.037,1579615199999,1690342.83220,492,103.924,900694.24141,0
1579615200000,8668.20,8668.62,8653.68,8663.58,345.190,1579616099999,2989848.60423,963,127.660,1105614.01167,0
1579616100000,8663.56,8663.70,8657.48,8660.48,327.677,1579616999999,2837826.84420,617,127.041,1100274.19099,0
1579617000000,8659.87,8665.01,8653.16,8662.62,461.158,1579617899999,3993423.48892,808,264.220,2288314.18189,0
1579617900000,8662.64,8667.30,8656.82,8658.76,300.206,1579618799999,2600690.66723,619,117.627,1019207.67680,0
1579618800000,8658.62,8676.19,8658.62,8673.87,456.230,1579619699999,3954598.21065,1044,358.777,3109925.72770,0
1579619700000,8674.34,8677.27,8661.33,8664.69,586.948,1579620599999,5089123.63393,1168,275.761,2391041.51374,0
1579620600000,8664.94,8674.00,8663.18,8673.00,375.467,1579621499999,3254543.09792,736,231.369,2005528.46273,0
1579621500000,8673.00,8682.70,8646.00,8650.78,1256.290,1579622399999,10885761.33259,2854,532.459,4614329.67154,0
1579622400000,8650.50,8669.00,8642.00,8650.92,1588.752,1579623299999,13751196.08446,2881,702.759,6084165.51219,0
